index,chunk_num,text
0,0,"Okay, now let's make it more interactive.  Let's take input from the user  rather than us deciding what we want  the variables value to be, what should be the number"
0,1,.  Let's ask the user what is their choice.
1,0,"Let's make the results dependent on what user chooses to do.  So in that case, we have a lot of classes,  a lot of different ways to get an input  from the user on the command line"
1,1,.  But here we are going to use scanner class.
2,0,Scanner class is available in java.util.  So definitely we'll be importing that package.  And here we'll create these two lines are quite important
2,1,".  First of all, we'll create an object of the scanner class."
3,0,"So it says scanner obj, you can give it any name  equal to new scanner, then system.in  just to get the input from the user in the command line  and give it to the scanner class"
3,1,".  Then int a, int would be the data type,  a the variable name, equal to whatever name  you've given to the object.  Here it's obj, obj.nextint.  Let's have a look at it in the practical way."
4,0,"So here we have defined a class  simply user input as its name,  imported java.util, simply scanner,  we've created an object of the scanner class"
4,1,.  Then system.out.println we have shown  or we've displayed enter a number.  Now the user should enter the number.
5,0,"Now where does the input go?  It goes in this variable, int a, you can give it any name,  int a, next int, I'm sorry,  you'll need to use the object name,  obj.nextint, compile it, no syntax errors"
5,1,.  So what difference does it make?  It makes a difference there.  Now they are asking for an input.
6,0,"Enter a number, four, press enter.  So now we are entering a number.  Let's make it better."
7,0,"Now let's make the user enter another number.  Enter another number, we can use the same statement.  Now we'll print the sum of a and b  or we can say the sum of both the numbers is, let's see."
8,0,"So how we get input from the user?  Enter a number, we enter three.  Enter another number, we enter seven.  The sum of both the numbers is 10."
9,0,So now we are in control
9,1,".  The user, rather than just using the predefined ones,  the ones that we've defined in the program,  we are taking input from the user,  enter a number, then enter another number"
9,2,",  enter a number, then enter another number,  then it adds the numbers and gives you the result"
9,3,.  So input processes it and the output.
10,0,"Okay, so time for making your own project here. We'll just try and incorporate everything that  we've learned in this course"
10,1,". We'll try and implement it and use it as much as possible,  all the if-else statements, all the loops, switch case, everything that we've learned,  we'll try and incorporate it."
11,0,"So let's start with our project here. We'll have,  we'll display a menu for the user and then user himself can choose which one, what to do"
11,1,".  So we'll be giving an option, we'll be giving them, we'll be using switch case here in the  first one."
12,0,"Okay, let's start. So like any, any other program, we will start it with main function.  Now let's define a scanner class, a scanner object, I mean."
13,0,"So using the scanner class,  we'll take the input. So as you can see, it's underlined because we have not imported  java.util. Let's import that now. Here, now let's see."
14,0,Let's display a menu for the user.  We'll do certain things for the user. So enter one to check if a number is even or odd.
15,0,"Let's  display three more, two more of these. So the user, the user should enter two to divide two  numbers. User should enter three to join two strings."
16,0,So we've displayed a menu here.  Let's take in the user's choice. We need to use it with the object.
17,0,There you have it. Now we've taken user's choice in the choice variable. So it's stored there.
18,0,"We'll be using switch case here. The variable that we'll be using is choice.  In case the user states one, what should we do? We will call a function called even odd."
19,0,"And then so it's telling us that there's no such function, but we'll be defining it later. So you  do not need to worry about it. So now even odd, that is first one."
20,0,"Let's just define the default  one as well. Default, just in case the user hasn't entered one, it will, this one would be executed  invalid input"
20,1,". Okay, let's let's have the other two switch cases, other two cases as well."
21,0,"So just keep it aligned. So there's clarity. Then the other one would be divide,  this one would be join."
22,0,"So these three functions that we've used, in case the choice is one,  then even odd would be executed. Make sure you use break. Otherwise, each one of them would be  executed."
23,0,"Now, outside this function, let's define another function here. First one would be even  odd. So as you can see here, we are not passing any arguments."
24,0,So we are not passing any arguments  here while we are calling it. So these brackets are also empty. And there would be no return type  as well.
25,0,We are not returning it we are we are doing everything in this one itself. So you do  not need to write here in float anything like that you don't have to. So now we'll take an input from  user.
26,0,"Let's do that. So we are asking for the user to enter a number you can again, create an object  here"
26,1,". Now one thing that you need to notice is that we need to create another, another object  here, we always whenever a variable be a choice."
